Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
XXII,"22nd Century Group, Inc",2.39,295318239.6,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.905,1236701692,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,6.31,143504077.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf
CH,"Aberdeen Chile Fund, Inc.",8.13,76078019.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,14.25,135158585.3,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abe
FCO,"Aberdeen Global Income Fund, Inc.",8.61,75120433.29,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco
IF,"Aberdeen Indonesia Fund, Inc.",7.54,69799325.7,n/a,1990,n/a,n/a,http://www.nasdaq.com/symbol/if
ISL,"Aberdeen Israel Fund, Inc.",20.0371,79055736.86,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl
ACU,Acme United Corporation.,22.8,76928590.8,n/a,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu
ATNM,"Actinium Pharmaceuticals, Inc.",0.6783,54281007.02,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm
AE,"Adams Resources & Energy, Inc.",44.11,186038159.6,n/a,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
ACY,AeroCentury Corp.,14.8717,21068722.52,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy
AIRI,Air Industries Group,1.38,19668891.6,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/airi
AXU,Alexco Resource Corp,1.44,145769885.3,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu
ALO,Alio Gold Inc.,3.14,136982060.4,n/a,2011,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/alo
AAU,"Almaden Minerals, Ltd.",0.9,91202500.8,n/a,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aau
APT,"Alpha Pro Tech, Ltd.",4.25,64410972.75,n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/apt
AAMC,Altisource Asset Management Corp,76.5,122013139.5,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/aamc
DIT,AMCON Distributing Company,89,61468473,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dit
ALN,American Lorain Corporation,0.2089,7992407.461,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/aln
AMS,American Shared Hospital Services,2.6,14846000,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ams
USAS,Americas Silver Corporation,3.59,146488147.8,n/a,2017,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/usas
AMPE,"Ampio Pharmaceuticals, Inc.",1.97,149605363.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ampe
APHB,AmpliPhi Biosciences Corporation,1.06,9828597.72,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aphb
ARNC^,Arconic Inc.,92,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arnc^
AKG,Asanko Gold Inc.,0.685,139363220.5,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/akg
AINC,Ashford Inc.,104,217642984,n/a,2014,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ainc
ASB.WS,Associated Banc-Corp,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asb.ws
AST,"Asterias Biotherapeutics, Inc.",2.45,132670297.9,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ast
AUG,Auryn Resources Inc.,1.58,123992443.4,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aug
AWX,Avalon Holdings Corporation,2.156,8199981.636,n/a,n/a,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/awx
ASM,Avino Silver,1.29,68006417.37,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/asm
BTG,B2Gold Corp,2.67,2614240121,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/btg
BTN,"Ballantyne Strong, Inc",4.925,70998997,n/a,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/btn
BKJ,"Bancorp of New Jersey, Inc",17,116873980,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bkj
BCV,Bancroft Fund Limited,21.76,114237824,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv
BCV^A,Bancroft Fund Limited,25.75,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv^a
BAA,BANRO CORPORATION,0.2272,24936974.66,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/baa
BHB,"Bar Harbor Bankshares, Inc.",28.75,443726263.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bhb
BRN,"Barnwell Industries, Inc.",2.11,17464807.6,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/brn
BGSF,BG Staffing Inc,15.62,136821453.1,n/a,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/bgsf
BPMX,BioPharmX Corporation,0.116,9241700.86,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bpmx
BTX,"BioTime, Inc.",2.68,339999931.3,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/btx
BTX.WS,"BioTime, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/btx.ws
BGI,Birks Group Inc.,1.79,32149976.99,n/a,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/bgi
BZM,BlackRock Maryland Municipal Bond Trust,13.5425,28158392.09,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bzm
MHE,BlackRock Massachusetts Tax-Exempt Trust,14.0789,33329092.6,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/mhe
BLE,BlackRock Municipal Income Trust II,14.38,337934731,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/ble
BLJ,Blackrock New Jersey Municipal Bond Trust,14.6169,34009272.78,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/blj
BFY,BlackRock New York Municipal Income Trust II,14.85,74319037.65,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bfy
BHV,BlackRock Virginia Municipal Bond Trust,17.71,28291795.84,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bhv
BDR,"Blonder Tongue Laboratories, Inc.",0.47,3817262.45,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/bdr
BRG,"Bluerock Residential Growth REIT, Inc.",11.27,272824227.6,n/a,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brg
BRG^A,"Bluerock Residential Growth REIT, Inc.",26.36,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brg^a
BRG^C,"Bluerock Residential Growth REIT, Inc.",25.94,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brg^c
BRG^D,"Bluerock Residential Growth REIT, Inc.",25.15,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brg^d
BVX,Bovie Medical Corporation,2.63,86423864.55,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bvx
BWL.A,"Bowl America, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bwl.a
CMCL,Caledonia Mining Corporation Plc,7.32,77457934.2,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/cmcl
CEI,"Camber Energy, Inc.",0.1858,12327997.96,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cei
CANF,Can-Fite Biopharma Ltd,1.44,23551128,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/canf
ROX,"Castle Brands, Inc.",1.18,193880941.9,n/a,2006,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/rox
CAW,"CCA Industries, Inc.",3,21020052,n/a,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/caw
CVM,Cel-Sci Corporation,1.87,18854082.39,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cvm
CVM.WS,Cel-Sci Corporation,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cvm.ws
CEF,Central Fund of Canada Limited,13.38,3373312120,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cef
CET,Central Securities Corporation,26.67,661712863.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cet
LEU,Centrus Energy Corp.,4.36,39408954.36,n/a,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/leu
CCF,Chase Corporation,123.25,1154228362,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ccf
CQH,"Cheniere Energy Partners LP Holdings, LLC",25.86,5991762000,n/a,2013,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqh
CQP,"Cheniere Energy Partners, LP",27.84,13474605184,n/a,2007,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqp
LNG,"Cheniere Energy, Inc.",47.19,11215396155,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/lng
CVR,Chicago Rivet & Machine Co.,31.2999,30239834.99,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvr
CPHI,"China Pharma Holdings, Inc.",0.1811,7892257.773,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cphi
CISN.WS,Cision Ltd.,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cisn.ws
CKX,"CKX Lands, Inc.",10.5,20396197.5,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ckx
GLV,Clough Global Dividend and Income Fund,13.73,142516109.4,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/glv
GLQ,Clough Global Equity Fund,13.53,238684150.7,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/glq
GLO,Clough Global Opportunities Fund,11.1808,576471526.9,n/a,2006,n/a,n/a,http://www.nasdaq.com/symbol/glo
COHN,Cohen & Company Inc.,7.7901,9806442.743,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cohn
MOC,Command Security Corporation,3.1,30529376.6,n/a,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/moc
CIX,CompX International Inc.,13.2272,164362602.5,n/a,1998,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cix
LODE,"Comstock Mining, Inc.",0.3888,17611519.09,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/lode
CDOR,"Condor Hospitality Trust, Inc.",9.94,116091337.5,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cdor
CTO,Consolidated-Tomoka Land Co.,59.54,332336382.8,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cto
MCF,Contango Oil & Gas Company,2.79,71172319.68,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mcf
CUO,Continental Materials Corporation,19.0622,32065803.79,n/a,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cuo
CMT,Core Molding Technologies Inc,22.3,175107895.6,n/a,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/cmt
CVRS,"Corindus Vascular Robotics, Inc.",1.19,224556473.6,n/a,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cvrs
CRMD,CorMedix Inc,0.53,35523472.07,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crmd
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",14.61,322271543.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crf
